text,sentiment,stress_level
a+,positive,low
i feel a+,positive,low
abound,positive,low
i feel abound,positive,low
abounds,positive,low
i feel abounds,positive,low
abundance,positive,low
i feel abundance,positive,low
abundant,positive,low
i feel abundant,positive,low
accessable,positive,low
i feel accessable,positive,low
accessible,positive,low
i feel accessible,positive,low
acclaim,positive,low
i feel acclaim,positive,low
acclaimed,positive,low
i feel acclaimed,positive,low
acclamation,positive,low
i feel acclamation,positive,low
accolade,positive,low
i feel accolade,positive,low
accolades,positive,low
i feel accolades,positive,low
accommodative,positive,low
i feel accommodative,positive,low
accomodative,positive,low
i feel accomodative,positive,low
accomplish,positive,low
i feel accomplish,positive,low
accomplished,positive,low
i feel accomplished,positive,low
accomplishment,positive,low
i feel accomplishment,positive,low
accomplishments,positive,low
i feel accomplishments,positive,low
accurate,positive,low
i feel accurate,positive,low
accurately,positive,low
i feel accurately,positive,low
achievable,positive,low
i feel achievable,positive,low
achievement,positive,low
i feel achievement,positive,low
achievements,positive,low
i feel achievements,positive,low
achievible,positive,low
i feel achievible,positive,low
acumen,positive,low
i feel acumen,positive,low
adaptable,positive,low
i feel adaptable,positive,low
adaptive,positive,low
i feel adaptive,positive,low
adequate,positive,low
i feel adequate,positive,low
adjustable,positive,low
i feel adjustable,positive,low
admirable,positive,low
i feel admirable,positive,low
admirably,positive,low
i feel admirably,positive,low
admiration,positive,low
i feel admiration,positive,low
admire,positive,low
i feel admire,positive,low
admirer,positive,low
i feel admirer,positive,low
admiring,positive,low
i feel admiring,positive,low
admiringly,positive,low
i feel admiringly,positive,low
adorable,positive,low
i feel adorable,positive,low
adore,positive,low
i feel adore,positive,low
adored,positive,low
i feel adored,positive,low
adorer,positive,low
i feel adorer,positive,low
adoring,positive,low
i feel adoring,positive,low
adoringly,positive,low
i feel adoringly,positive,low
adroit,positive,low
i feel adroit,positive,low
adroitly,positive,low
i feel adroitly,positive,low
adulate,positive,low
i feel adulate,positive,low
adulation,positive,low
i feel adulation,positive,low
adulatory,positive,low
i feel adulatory,positive,low
advanced,positive,low
i feel advanced,positive,low
advantage,positive,low
i feel advantage,positive,low
advantageous,positive,low
i feel advantageous,positive,low
advantageously,positive,low
i feel advantageously,positive,low
advantages,positive,low
i feel advantages,positive,low
adventuresome,positive,low
i feel adventuresome,positive,low
adventurous,positive,low
i feel adventurous,positive,low
advocate,positive,low
i feel advocate,positive,low
advocated,positive,low
i feel advocated,positive,low
advocates,positive,low
i feel advocates,positive,low
affability,positive,low
i feel affability,positive,low
affable,positive,low
i feel affable,positive,low
affably,positive,low
i feel affably,positive,low
affectation,positive,low
i feel affectation,positive,low
affection,positive,low
i feel affection,positive,low
affectionate,positive,low
i feel affectionate,positive,low
affinity,positive,low
i feel affinity,positive,low
affirm,positive,low
i feel affirm,positive,low
affirmation,positive,low
i feel affirmation,positive,low
affirmative,positive,low
i feel affirmative,positive,low
affluence,positive,low
i feel affluence,positive,low
affluent,positive,low
i feel affluent,positive,low
afford,positive,low
i feel afford,positive,low
affordable,positive,low
i feel affordable,positive,low
affordably,positive,low
i feel affordably,positive,low
afordable,positive,low
i feel afordable,positive,low
agile,positive,low
i feel agile,positive,low
agilely,positive,low
i feel agilely,positive,low
agility,positive,low
i feel agility,positive,low
agreeable,positive,low
i feel agreeable,positive,low
agreeableness,positive,low
i feel agreeableness,positive,low
agreeably,positive,low
i feel agreeably,positive,low
all-around,positive,low
i feel all-around,positive,low
alluring,positive,low
i feel alluring,positive,low
alluringly,positive,low
i feel alluringly,positive,low
altruistic,positive,low
i feel altruistic,positive,low
altruistically,positive,low
i feel altruistically,positive,low
amaze,positive,low
i feel amaze,positive,low
amazed,positive,low
i feel amazed,positive,low
amazement,positive,low
i feel amazement,positive,low
amazes,positive,low
i feel amazes,positive,low
amazing,positive,low
i feel amazing,positive,low
amazingly,positive,low
i feel amazingly,positive,low
ambitious,positive,low
i feel ambitious,positive,low
ambitiously,positive,low
i feel ambitiously,positive,low
ameliorate,positive,low
i feel ameliorate,positive,low
amenable,positive,low
i feel amenable,positive,low
amenity,positive,low
i feel amenity,positive,low
amiability,positive,low
i feel amiability,positive,low
amiabily,positive,low
i feel amiabily,positive,low
amiable,positive,low
i feel amiable,positive,low
amicability,positive,low
i feel amicability,positive,low
amicable,positive,low
i feel amicable,positive,low
amicably,positive,low
i feel amicably,positive,low
amity,positive,low
i feel amity,positive,low
ample,positive,low
i feel ample,positive,low
amply,positive,low
i feel amply,positive,low
amuse,positive,low
i feel amuse,positive,low
amusing,positive,low
i feel amusing,positive,low
amusingly,positive,low
i feel amusingly,positive,low
angel,positive,low
i feel angel,positive,low
angelic,positive,low
i feel angelic,positive,low
apotheosis,positive,low
i feel apotheosis,positive,low
appeal,positive,low
i feel appeal,positive,low
appealing,positive,low
i feel appealing,positive,low
applaud,positive,low
i feel applaud,positive,low
appreciable,positive,low
i feel appreciable,positive,low
appreciate,positive,low
i feel appreciate,positive,low
appreciated,positive,low
i feel appreciated,positive,low
appreciates,positive,low
i feel appreciates,positive,low
appreciative,positive,low
i feel appreciative,positive,low
appreciatively,positive,low
i feel appreciatively,positive,low
appropriate,positive,low
i feel appropriate,positive,low
approval,positive,low
i feel approval,positive,low
approve,positive,low
i feel approve,positive,low
ardent,positive,low
i feel ardent,positive,low
ardently,positive,low
i feel ardently,positive,low
ardor,positive,low
i feel ardor,positive,low
articulate,positive,low
i feel articulate,positive,low
aspiration,positive,low
i feel aspiration,positive,low
aspirations,positive,low
i feel aspirations,positive,low
aspire,positive,low
i feel aspire,positive,low
assurance,positive,low
i feel assurance,positive,low
assurances,positive,low
i feel assurances,positive,low
assure,positive,low
i feel assure,positive,low
assuredly,positive,low
i feel assuredly,positive,low
assuring,positive,low
i feel assuring,positive,low
astonish,positive,low
i feel astonish,positive,low
astonished,positive,low
i feel astonished,positive,low
astonishing,positive,low
i feel astonishing,positive,low
astonishingly,positive,low
i feel astonishingly,positive,low
astonishment,positive,low
i feel astonishment,positive,low
astound,positive,low
i feel astound,positive,low
astounded,positive,low
i feel astounded,positive,low
astounding,positive,low
i feel astounding,positive,low
astoundingly,positive,low
i feel astoundingly,positive,low
astutely,positive,low
i feel astutely,positive,low
attentive,positive,low
i feel attentive,positive,low
attraction,positive,low
i feel attraction,positive,low
attractive,positive,low
i feel attractive,positive,low
attractively,positive,low
i feel attractively,positive,low
attune,positive,low
i feel attune,positive,low
audible,positive,low
i feel audible,positive,low
audibly,positive,low
i feel audibly,positive,low
auspicious,positive,low
i feel auspicious,positive,low
authentic,positive,low
i feel authentic,positive,low
authoritative,positive,low
i feel authoritative,positive,low
autonomous,positive,low
i feel autonomous,positive,low
available,positive,low
i feel available,positive,low
aver,positive,low
i feel aver,positive,low
avid,positive,low
i feel avid,positive,low
avidly,positive,low
i feel avidly,positive,low
award,positive,low
i feel award,positive,low
awarded,positive,low
i feel awarded,positive,low
awards,positive,low
i feel awards,positive,low
awe,positive,low
i feel awe,positive,low
awed,positive,low
i feel awed,positive,low
awesome,positive,low
i feel awesome,positive,low
awesomely,positive,low
i feel awesomely,positive,low
awesomeness,positive,low
i feel awesomeness,positive,low
awestruck,positive,low
i feel awestruck,positive,low
awsome,positive,low
i feel awsome,positive,low
backbone,positive,low
i feel backbone,positive,low
balanced,positive,low
i feel balanced,positive,low
bargain,positive,low
i feel bargain,positive,low
beauteous,positive,low
i feel beauteous,positive,low
beautiful,positive,low
i feel beautiful,positive,low
beautifullly,positive,low
i feel beautifullly,positive,low
beautifully,positive,low
i feel beautifully,positive,low
beautify,positive,low
i feel beautify,positive,low
beauty,positive,low
i feel beauty,positive,low
beckon,positive,low
i feel beckon,positive,low
beckoned,positive,low
i feel beckoned,positive,low
beckoning,positive,low
i feel beckoning,positive,low
beckons,positive,low
i feel beckons,positive,low
believable,positive,low
i feel believable,positive,low
believeable,positive,low
i feel believeable,positive,low
beloved,positive,low
i feel beloved,positive,low
benefactor,positive,low
i feel benefactor,positive,low
beneficent,positive,low
i feel beneficent,positive,low
beneficial,positive,low
i feel beneficial,positive,low
beneficially,positive,low
i feel beneficially,positive,low
beneficiary,positive,low
i feel beneficiary,positive,low
benefit,positive,low
i feel benefit,positive,low
benefits,positive,low
i feel benefits,positive,low
benevolence,positive,low
i feel benevolence,positive,low
benevolent,positive,low
i feel benevolent,positive,low
benifits,positive,low
i feel benifits,positive,low
best,positive,low
i feel best,positive,low
best-known,positive,low
i feel best-known,positive,low
best-performing,positive,low
i feel best-performing,positive,low
best-selling,positive,low
i feel best-selling,positive,low
better,positive,low
i feel better,positive,low
better-known,positive,low
i feel better-known,positive,low
better-than-expected,positive,low
i feel better-than-expected,positive,low
beutifully,positive,low
i feel beutifully,positive,low
blameless,positive,low
i feel blameless,positive,low
bless,positive,low
i feel bless,positive,low
blessing,positive,low
i feel blessing,positive,low
bliss,positive,low
i feel bliss,positive,low
blissful,positive,low
i feel blissful,positive,low
blissfully,positive,low
i feel blissfully,positive,low
blithe,positive,low
i feel blithe,positive,low
blockbuster,positive,low
i feel blockbuster,positive,low
bloom,positive,low
i feel bloom,positive,low
blossom,positive,low
i feel blossom,positive,low
bolster,positive,low
i feel bolster,positive,low
bonny,positive,low
i feel bonny,positive,low
bonus,positive,low
i feel bonus,positive,low
bonuses,positive,low
i feel bonuses,positive,low
boom,positive,low
i feel boom,positive,low
booming,positive,low
i feel booming,positive,low
boost,positive,low
i feel boost,positive,low
boundless,positive,low
i feel boundless,positive,low
bountiful,positive,low
i feel bountiful,positive,low
brainiest,positive,low
i feel brainiest,positive,low
brainy,positive,low
i feel brainy,positive,low
brand-new,positive,low
i feel brand-new,positive,low
brave,positive,low
i feel brave,positive,low
bravery,positive,low
i feel bravery,positive,low
bravo,positive,low
i feel bravo,positive,low
breakthrough,positive,low
i feel breakthrough,positive,low
breakthroughs,positive,low
i feel breakthroughs,positive,low
breathlessness,positive,low
i feel breathlessness,positive,low
breathtaking,positive,low
i feel breathtaking,positive,low
breathtakingly,positive,low
i feel breathtakingly,positive,low
breeze,positive,low
i feel breeze,positive,low
bright,positive,low
i feel bright,positive,low
brighten,positive,low
i feel brighten,positive,low
brighter,positive,low
i feel brighter,positive,low
brightest,positive,low
i feel brightest,positive,low
brilliance,positive,low
i feel brilliance,positive,low
brilliances,positive,low
i feel brilliances,positive,low
brilliant,positive,low
i feel brilliant,positive,low
brilliantly,positive,low
i feel brilliantly,positive,low
brisk,positive,low
i feel brisk,positive,low
brotherly,positive,low
i feel brotherly,positive,low
bullish,positive,low
i feel bullish,positive,low
buoyant,positive,low
i feel buoyant,positive,low
cajole,positive,low
i feel cajole,positive,low
calm,positive,low
i feel calm,positive,low
calming,positive,low
i feel calming,positive,low
calmness,positive,low
i feel calmness,positive,low
capability,positive,low
i feel capability,positive,low
capable,positive,low
i feel capable,positive,low
capably,positive,low
i feel capably,positive,low
captivate,positive,low
i feel captivate,positive,low
captivating,positive,low
i feel captivating,positive,low
carefree,positive,low
i feel carefree,positive,low
cashback,positive,low
i feel cashback,positive,low
cashbacks,positive,low
i feel cashbacks,positive,low
catchy,positive,low
i feel catchy,positive,low
celebrate,positive,low
i feel celebrate,positive,low
celebrated,positive,low
i feel celebrated,positive,low
celebration,positive,low
i feel celebration,positive,low
celebratory,positive,low
i feel celebratory,positive,low
champ,positive,low
i feel champ,positive,low
champion,positive,low
i feel champion,positive,low
charisma,positive,low
i feel charisma,positive,low
charismatic,positive,low
i feel charismatic,positive,low
charitable,positive,low
i feel charitable,positive,low
charm,positive,low
i feel charm,positive,low
charming,positive,low
i feel charming,positive,low
charmingly,positive,low
i feel charmingly,positive,low
chaste,positive,low
i feel chaste,positive,low
cheaper,positive,low
i feel cheaper,positive,low
cheapest,positive,low
i feel cheapest,positive,low
cheer,positive,low
i feel cheer,positive,low
cheerful,positive,low
i feel cheerful,positive,low
cheery,positive,low
