text,sentiment,stress_level
hopeful,positive,low
i feel hopeful,positive,low
feeling hopeful,positive,low
i am hopeful,positive,low
it is hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
very hopeful,positive,low
resilient,positive,low
i feel resilient,positive,low
feeling resilient,positive,low
i am resilient,positive,low
it is resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
very resilient,positive,low
calm,positive,low
i feel calm,positive,low
feeling calm,positive,low
i am calm,positive,low
it is calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
very calm,positive,low
motivated,positive,low
i feel motivated,positive,low
feeling motivated,positive,low
i am motivated,positive,low
it is motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
very motivated,positive,low
content,positive,low
i feel content,positive,low
feeling content,positive,low
i am content,positive,low
it is content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
very content,positive,low
energetic,positive,low
i feel energetic,positive,low
feeling energetic,positive,low
i am energetic,positive,low
it is energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
very energetic,positive,low
confident,positive,low
i feel confident,positive,low
feeling confident,positive,low
i am confident,positive,low
it is confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
very confident,positive,low
blessed,positive,low
i feel blessed,positive,low
feeling blessed,positive,low
i am blessed,positive,low
it is blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
very blessed,positive,low
peaceful,positive,low
i feel peaceful,positive,low
feeling peaceful,positive,low
i am peaceful,positive,low
it is peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
very peaceful,positive,low
strong,positive,low
i feel strong,positive,low
feeling strong,positive,low
i am strong,positive,low
it is strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
very strong,positive,low
stable,positive,low
i feel stable,positive,low
feeling stable,positive,low
i am stable,positive,low
it is stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
very stable,positive,low
inspired,positive,low
i feel inspired,positive,low
feeling inspired,positive,low
i am inspired,positive,low
it is inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
very inspired,positive,low
grateful,positive,low
i feel grateful,positive,low
feeling grateful,positive,low
i am grateful,positive,low
it is grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
very grateful,positive,low
optimistic,positive,low
i feel optimistic,positive,low
feeling optimistic,positive,low
i am optimistic,positive,low
it is optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
very optimistic,positive,low
refreshed,positive,low
i feel refreshed,positive,low
feeling refreshed,positive,low
i am refreshed,positive,low
it is refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
very refreshed,positive,low
balanced,positive,low
i feel balanced,positive,low
feeling balanced,positive,low
i am balanced,positive,low
it is balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
very balanced,positive,low
