text,sentiment,stress_level
I feel frustrated and drained due to family expectations,negative,high
I feel disconnected and exhausted these days,negative,medium
I am drained but trying to manage it,negative,medium
Everything is broken I feel like not being here anymore,negative,high
The isolation is unbearable I feel crushed,negative,high
I successfully completed my project and I am thrilled,positive,low
My studies is suffering because I feel drained,negative,medium
I feel panicking because I keep disappointing everyone I need help,negative,high
I feel drained due to lack of sleep,negative,medium
I feel desperate because I feel invisible to everyone I need help,negative,high
Today was motivated I won a competition,positive,low
I feel terrified and alone I cannot take this anymore,negative,high
I feel frustrated and distracted because of upcoming exams,negative,medium
I feel disconnected and frustrated these days,negative,high
My mentor motivated me and I feel thrilled,positive,low
Everything feels confident today my professor appreciated my work,positive,low
I feel terrified and worthless nothing is going right,negative,high
College is making me feel sad due to family expectations,negative,medium
I woke up feeling blessed and I slept well last night,positive,low
College is making me feel confused because I am behind on syllabus,negative,medium
Life feels amazing when my family called and it made my day,positive,low
I am irritated about my performance in internals,negative,medium
I am so burned out because the stress has become too much,negative,high
I am broken and feel like ceasing to exist,negative,high
Today was joyful I passed my difficult exam,positive,low
I feel exhausted thinking about my attendance shortage,negative,medium
Everything feels joyful today I made new friends today,positive,low
Everything feels isolated I don't know what to do,negative,high
The lectures were ordinary today things were uneventful,neutral,low
I am exhausted and finding it hard to study,negative,medium
Everything feels amazing today I won a competition,positive,low
I feel worried and drained due to lack of sleep,negative,high
Feeling fantastic and motivated I understand the subject well now,positive,low
I secured a scholarship and it made me feel optimistic,positive,low
The pressure of mental exhaustion is making me feel depressed,negative,high
The mental exhaustion is unbearable I feel deeply anxious,negative,high
I went to the lab and attended lectures,neutral,medium
I love college life it makes me feel great,positive,low
I am hopeless and feel like I cannot go on like this,negative,high
I feel stressed and tense due to assignment deadlines,negative,high
I love my project it makes me feel fantastic,positive,low
The academic pressure is unbearable I feel broken,negative,high
I successfully gave an excellent viva and I am thrilled,positive,low
Everything is destroyed inside I feel like ceasing to exist,negative,high
I am stressed and finding it hard to study,negative,medium
I spent the day completed the tutorial nothing exciting,neutral,low
The day was normal lectures were average,neutral,low
Life feels joyful when I made new friends today,positive,low
I am tense and finding it hard to concentrate,negative,medium
I feel cheerful today I made new friends today,positive,low
I had lunch with classmates and the day passed normally,neutral,low
I am demotivated and finding it hard to enjoy college,negative,medium
My parent appreciated my effort and I feel cheerful,positive,low
I feel lost because I feel invisible to everyone I need help,negative,high
Today I aced my presentation which made my day,positive,low
I am struggling with motivation lately,negative,medium
I feel devastated like I am drowning with no one to save me,negative,high
The day was decent went through the schedule,neutral,low
I am really proud because I made new friends today,positive,low
I attended the tutorial and it was decent,neutral,medium
I feel confident and motivated about attending seminars,positive,low
The day was plain just the usual routine,neutral,low
I feel tired today because I procrastinated too much,negative,high
I went to the canteen and revised my notes,neutral,low
College was regular today just the usual routine,neutral,low
I feel anxious due to exam pressure,negative,medium
The lectures were okay today no highs or lows,neutral,low
I feel tired due to exam pressure,negative,medium
College is making me feel nervous because of upcoming exams,negative,medium
I went to the lab and studied for a while,neutral,medium
I feel worried today because I cannot focus,negative,high
Everything is hopeless I feel like ending it all,negative,high
College is making me feel distracted because of upcoming exams,negative,high
Feeling cheerful after a good meal with friends,positive,low
My mentor praised my work and I feel refreshed,positive,low
I feel pressure from society about my focus,negative,high
I feel nervous and tired because I failed to meet my own expectations,negative,medium
I feel completely lost and trapped in college life,negative,high
Today I passed my exam which made my day,positive,low
I am so trapped I cannot even talk to anyone properly,negative,high
I went to college and completed the tutorial,neutral,medium
Everything is trapped I feel like disappearing forever,negative,high
I am drained about my semester results,negative,high
Life feels lively when I achieved my weekly goal,positive,low
I am so hopeless because of constant failure,negative,high
I feel helpless because nobody understands me I need help,negative,high
The lectures were ordinary today nothing special to mention,neutral,low
Feeling proud after finishing a tough assignment,positive,low
The day was calm nothing special to mention,neutral,low
I feel stressed and lost because of upcoming exams,negative,medium
Feeling happy after a good meal with friends,positive,low
I am so grateful right now I understand the subject well now,positive,low
I feel pressure from society about my project work,negative,medium
